Time,Is_alive,Min_time,Max_time,Avg_time,Std_dev,pct_loss
2024-11-10 09:04:27.081498,True,15.787,31.699,27.496,5.93,0.0
2024-11-10 09:09:39.268657,True,25.239,31.882,29.797,2.336,0.0
2024-11-10 09:14:51.448491,True,15.952,31.712,26.891,5.955,0.0
2024-11-10 09:20:03.653753,True,27.689,31.297,30.105,1.251,0.0
2024-11-10 09:25:15.838483,True,16.093,31.294,27.544,5.784,0.0
2024-11-10 09:30:28.025101,True,15.276,31.5,27.16,6.269,0.0
2024-11-10 09:35:40.217220,True,25.964,31.111,29.794,1.925,0.0
2024-11-10 09:40:52.411917,True,15.305,31.315,26.718,6.092,0.0
2024-11-10 09:46:04.583242,True,16.049,31.442,26.964,5.787,0.0
2024-11-10 09:51:16.771008,True,6.299,30.961,24.823,9.456,0.0
2024-11-10 09:56:28.961813,True,15.363,31.607,26.768,6.149,0.0
2024-11-10 10:01:41.163569,True,18.687,31.384,28.4,4.869,0.0
2024-11-10 10:06:53.368688,True,25.564,31.985,30.185,2.337,0.0
2024-11-10 10:12:05.529449,True,15.916,31.302,26.7,5.883,0.0
2024-11-10 10:17:17.671536,True,15.149,30.9,22.188,7.09,0.0
2024-11-10 10:22:29.818055,True,15.894,31.552,24.642,7.104,0.0
2024-11-10 10:27:42.019138,True,25.167,31.215,29.759,2.306,0.0
2024-11-10 10:32:54.180045,True,6.311,30.63,22.453,9.776,0.0
2024-11-10 10:38:06.355311,True,16.088,30.976,27.528,5.745,0.0
2024-11-10 10:43:18.550322,True,15.18,31.538,26.772,6.265,0.0
2024-11-10 10:48:30.733800,True,15.983,31.407,26.986,5.883,0.0
2024-11-10 10:53:42.891070,True,15.16,30.924,26.287,6.04,0.0
2024-11-10 10:58:55.069016,True,25.315,31.433,29.69,2.214,0.0
2024-11-10 11:04:07.236424,True,16.048,31.183,26.748,5.73,0.0
2024-11-10 11:09:19.411845,True,15.947,31.281,23.477,6.706,0.0
2024-11-10 11:14:31.542168,True,6.108,31.313,16.744,10.015,0.0
2024-11-10 11:19:43.736779,True,24.94,31.903,29.811,2.496,0.0
2024-11-10 11:24:55.915838,True,15.664,31.702,26.879,5.989,0.0
2024-11-10 11:30:08.080617,True,15.965,31.126,23.771,6.744,0.0
2024-11-10 11:35:20.291963,True,26.299,31.137,29.961,1.836,0.0
2024-11-10 11:40:32.477928,True,25.589,31.48,30.026,2.25,0.0
2024-11-10 11:45:44.688438,True,18.479,31.271,28.304,4.922,0.0
2024-11-10 11:50:56.882394,True,28.721,31.355,30.733,1.01,0.0
2024-11-10 11:56:09.007680,True,5.599,31.798,18.635,10.773,0.0
2024-11-10 12:01:21.269968,True,22.919,61.884,40.554,13.248,0.0
2024-11-10 12:06:33.459617,True,25.011,30.97,29.536,2.278,0.0
2024-11-10 12:11:45.674623,True,28.618,46.36,34.054,6.275,0.0
2024-11-10 12:16:57.840846,True,15.305,31.158,26.154,6.111,0.0
2024-11-10 12:22:10.014275,True,16.14,31.01,26.232,5.998,0.0
2024-11-10 12:27:22.194261,True,15.778,31.676,26.951,6.033,0.0
2024-11-10 12:32:34.394569,True,25.418,46.582,32.856,7.169,0.0
2024-11-10 12:37:46.605951,True,25.544,31.426,29.76,2.134,0.0
2024-11-10 12:42:58.785932,True,15.995,31.39,26.877,5.913,0.0
2024-11-10 12:48:11.056322,True,15.261,62.004,40.177,15.998,0.0
2024-11-10 12:53:23.207247,True,14.911,30.286,19.891,6.175,0.0
2024-11-10 12:58:35.419554,True,21.017,34.79,29.74,4.607,0.0
2024-11-10 13:03:47.542975,True,5.854,30.997,17.463,8.187,0.0
2024-11-10 13:08:59.815173,True,30.816,61.919,44.272,10.737,0.0
2024-11-10 13:14:12.234182,True,41.981,91.938,63.262,18.559,0.0
2024-11-10 13:19:24.554619,True,30.527,61.125,46.296,9.693,0.0
2024-11-10 13:24:36.743623,True,5.769,31.996,23.172,10.569,0.0
2024-11-10 13:29:48.932826,True,16.941,46.491,30.631,9.494,0.0
2024-11-10 13:35:01.122884,True,5.547,31.295,25.158,9.922,0.0
2024-11-10 13:40:13.286186,True,6.074,30.893,21.337,9.534,0.0
2024-11-10 13:45:25.508536,True,15.632,46.328,30.556,9.722,0.0
2024-11-10 13:50:37.702645,True,13.91,31.072,26.079,6.358,0.0
2024-11-10 13:55:49.868229,True,5.46,46.004,25.663,13.842,0.0
2024-11-10 14:01:01.989145,True,6.238,45.076,17.273,14.579,0.0
2024-11-10 14:06:14.231860,True,30.737,46.767,40.96,6.882,0.0
2024-11-10 14:11:26.420221,True,5.925,30.086,25.052,9.568,0.0
